"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.383416635E-3,-1.109193420E-1,9.423952789E0,2.295626221E0
1.232241665E-2,-1.770817566E-1,9.406588898E0,2.298919373E0
2.226141666E-2,-1.745370483E-1,9.459878082E0,2.404898987E0
3.220041667E-2,-6.032455444E-2,9.493857422E0,2.536774750E0
4.213941668E-2,-1.796264648E-3,9.435179443E0,2.666255493E0
5.207841669E-2,3.981719971E-2,9.442364502E0,2.716251526E0
6.201741664E-2,1.282832336E-1,9.466913452E0,2.805316315E0
7.195641665E-2,2.246827698E-1,9.474996643E0,2.936593323E0
8.189441665E-2,2.902464294E-1,9.500144348E0,2.906505890E0
9.183341666E-2,2.999761963E-1,9.483977966E0,2.810106354E0
1.017724167E-1,1.883084106E-1,9.451944580E0,2.699037323E0
1.117114167E-1,7.289840698E-2,9.439819794E0,2.578088837E0
1.216504166E-1,5.059478760E-2,9.416618042E0,2.532433777E0
1.315894166E-1,5.089416504E-2,9.419611816E0,2.548151093E0
1.415284167E-1,8.607101440E-2,9.404193878E0,2.583627319E0
1.514674167E-1,9.699829102E-2,9.383686523E0,2.556833038E0
1.614064167E-1,5.523513794E-2,9.384584656E0,2.592908020E0
1.713454167E-1,3.936813354E-2,9.428593140E0,2.641407166E0
1.812844166E-1,5.388793945E-2,9.456435242E0,2.646945648E0
1.912234167E-1,5.972579956E-2,9.457483063E0,2.650388489E0
2.011624167E-1,4.206253052E-2,9.446406097E0,2.632575531E0
2.111014167E-1,4.355941772E-2,9.471703491E0,2.615511017E0
2.210404167E-1,9.071136475E-2,9.482331390E0,2.636467438E0
2.309794166E-1,1.001417542E-1,9.470955048E0,2.602039032E0
2.409184166E-1,7.708969116E-2,9.445957031E0,2.549348602E0
2.508574167E-1,4.580474854E-2,9.452992401E0,2.536475372E0
2.607964167E-1,3.637435913E-2,9.430239716E0,2.636617126E0
2.707354167E-1,4.266128540E-2,9.439221039E0,2.676134949E0
2.806744167E-1,3.951782227E-2,9.474248199E0,2.648891602E0
2.906134166E-1,1.422042847E-2,9.452094269E0,2.653831329E0
3.005524167E-1,4.266128540E-2,9.441017303E0,2.614463196E0
3.104904167E-1,3.802093506E-2,9.435179443E0,2.529290314E0
3.204294167E-1,2.275268555E-2,9.441466370E0,2.547851715E0
3.303684167E-1,4.311035156E-2,9.448801117E0,2.568059692E0
3.403074167E-1,4.535568237E-2,9.469757538E0,2.604134674E0
3.502464166E-1,4.999603271E-2,9.438771973E0,2.640658722E0
3.601854166E-1,3.517684937E-2,9.449399872E0,2.700384521E0
3.701244167E-1,5.748046875E-2,9.475445709E0,2.687211914E0
3.800634167E-1,3.906875610E-2,9.453441467E0,2.652334442E0
3.900024167E-1,4.191284180E-3,9.423803101E0,2.585273895E0
3.999414167E-1,-1.945953369E-3,9.417366486E0,2.571951599E0
4.098804166E-1,-1.377136230E-2,9.445208588E0,2.554737396E0
4.198194167E-1,-1.871109009E-2,9.431137848E0,2.545905762E0
4.297584167E-1,3.727249146E-2,9.423653412E0,2.510878601E0
4.396974167E-1,3.936813354E-2,9.431886292E0,2.521356812E0
4.496364167E-1,7.110214233E-2,9.473200378E0,2.588866425E0
4.595754166E-1,1.136137390E-1,9.478738861E0,2.642904053E0
4.695144166E-1,1.294807434E-1,9.498048706E0,2.689008179E0
4.794534167E-1,1.026864624E-1,9.493857422E0,2.667752380E0
4.893924167E-1,1.007405090E-1,9.469458160E0,2.636317749E0
4.993314167E-1,7.424560547E-2,9.469757538E0,2.607128448E0
5.092704167E-1,2.918930054E-2,9.463769989E0,2.587369537E0
5.192094166E-1,-7.634124756E-3,9.475894775E0,2.578986969E0
5.291484167E-1,-4.236190796E-2,9.475595398E0,2.590513000E0
5.390874167E-1,-2.335144043E-2,9.479487305E0,2.647843781E0
5.490264167E-1,4.191284180E-2,9.502090302E0,2.680924988E0
5.589644167E-1,1.043330383E-1,9.464219055E0,2.669997711E0
5.689034167E-1,1.019380188E-1,9.435478821E0,2.664459229E0
5.788424166E-1,1.185534668E-1,9.417216797E0,2.684667206E0
5.887814166E-1,1.202000427E-1,9.414223022E0,2.678230591E0
5.987204167E-1,1.333726501E-1,9.405690765E0,2.665507050E0
6.086594167E-1,9.131011963E-2,9.380243683E0,2.636617126E0
6.185984167E-1,4.640350342E-2,9.382788391E0,2.559228058E0
6.285374167E-1,1.137634277E-2,9.403295746E0,2.554587708E0
6.384764166E-1,7.065307617E-2,9.429940338E0,2.586920471E0
6.484154167E-1,5.179229736E-2,9.425749054E0,2.590962067E0
6.583544167E-1,6.002517700E-2,9.422006836E0,2.580783234E0
6.682934167E-1,5.059478760E-2,9.438771973E0,2.574645996E0
6.782324167E-1,4.909790039E-2,9.445657654E0,2.580184479E0
6.881714166E-1,2.993774414E-2,9.441466370E0,2.624492340E0
6.981104166E-1,1.826202393E-2,9.477541351E0,2.657124481E0
7.080494167E-1,1.511856079E-2,9.501940613E0,2.631378021E0
7.179884167E-1,4.535568237E-2,9.499844971E0,2.634671173E0
7.279274167E-1,8.397537231E-2,9.466165009E0,2.579585724E0
7.378664167E-1,7.873626709E-2,9.460476837E0,2.530188446E0
7.478054166E-1,5.553451538E-2,9.448651428E0,2.532733154E0
7.577444167E-1,4.685256958E-2,9.452094269E0,2.534379730E0
7.676834167E-1,3.233276367E-2,9.454189911E0,2.538421326E0
7.776224167E-1,3.143463135E-2,9.443711700E0,2.590513000E0
7.875614167E-1,4.026626587E-2,9.457782440E0,2.647095337E0
7.975004166E-1,5.673202515E-2,9.502239990E0,2.626737671E0
8.074384166E-1,6.780899048E-2,9.477241974E0,2.612816620E0
8.173774166E-1,5.673202515E-2,9.474547577E0,2.620600433E0
8.273164167E-1,1.088237000E-1,9.479187927E0,2.625390472E0
8.372553750E-1,1.224453735E-1,9.450747070E0,2.606978760E0
8.471943750E-1,8.113128662E-2,9.411678314E0,2.575544128E0
8.571333750E-1,3.248245239E-2,9.410929871E0,2.566113739E0
8.670723750E-1,1.466949463E-2,9.456435242E0,2.570305023E0
8.770113750E-1,4.685256958E-2,9.448202362E0,2.594704285E0
8.869503750E-1,3.682342529E-2,9.425299988E0,2.576442261E0
8.968893750E-1,2.544708252E-2,9.443861389E0,2.590662689E0
9.068283750E-1,4.939727783E-2,9.462422791E0,2.627935181E0
9.167673750E-1,1.079255676E-1,9.474547577E0,2.624642029E0
9.267063750E-1,1.404080200E-1,9.433682556E0,2.638862457E0
9.366453750E-1,1.164578247E-1,9.416767731E0,2.619702301E0
9.465843750E-1,5.658233643E-2,9.389973450E0,2.517614594E0
9.565233750E-1,2.050735474E-2,9.389973450E0,2.469265137E0
9.664623750E-1,-3.427871704E-2,9.430539093E0,2.557431793E0
9.764013750E-1,-4.490661621E-4,9.461225281E0,2.594105530E0
9.863403750E-1,1.601669312E-2,9.469308472E0,2.600392456E0
9.962793750E-1,6.421646118E-2,9.464668121E0,2.657872925E0
1.006218375E0,9.894424438E-2,9.480834503E0,2.695744171E0
1.016157375E0,1.061293030E-1,9.478140106E0,2.728975067E0
1.026096375E0,7.619155884E-2,9.488618317E0,2.713557129E0
1.036035375E0,9.131011963E-3,9.485923920E0,2.599644012E0
1.045974375E0,-1.212478638E-2,9.471404114E0,2.550396423E0
1.055913375E0,1.646575928E-3,9.485923920E0,2.583627319E0
1.065851375E0,3.427871704E-2,9.483977966E0,2.552791443E0
1.075790375E0,5.134323120E-2,9.490713959E0,2.576142883E0
1.085729375E0,9.954299927E-2,9.481133881E0,2.628234558E0
1.095668375E0,1.016386414E-1,9.472601624E0,2.674338684E0
1.105607375E0,1.077758789E-1,9.502988434E0,2.683320007E0
1.115546375E0,1.240919495E-1,9.505533142E0,2.683469696E0
1.125485375E0,8.846603394E-2,9.439370728E0,2.670596466E0
1.135424375E0,7.933502197E-2,9.421408081E0,2.568508759E0
1.145363375E0,6.227050781E-2,9.422755280E0,2.529739380E0
1.155302375E0,4.939727783E-2,9.422006836E0,2.527793427E0
1.165241375E0,2.275268555E-2,9.422455902E0,2.492915955E0
1.175180375E0,4.670288086E-2,9.403445435E0,2.516566772E0
1.185119375E0,7.289840698E-2,9.425898743E0,2.589914246E0
1.195058375E0,1.017883301E-1,9.446855164E0,2.656974792E0
1.204997375E0,8.472381592E-2,9.455686798E0,2.642005920E0
1.214936375E0,6.691085815E-2,9.452543335E0,2.599045258E0
1.224875375E0,4.281097412E-2,9.446106720E0,2.594255219E0
1.234814375E0,3.083587646E-2,9.468560028E0,2.603386230E0
1.244753375E0,5.224136353E-2,9.501940613E0,2.592908020E0
1.254692375E0,5.628295898E-2,9.486223297E0,2.602338409E0
1.264631375E0,3.757186890E-2,9.483379211E0,2.614612885E0
1.274570375E0,3.338058472E-2,9.490713959E0,2.634371796E0
1.284509375E0,8.232879639E-3,9.507628784E0,2.724634094E0
1.294448375E0,1.766326904E-2,9.540111237E0,2.743345184E0
1.304387375E0,3.353027344E-2,9.545500031E0,2.757266235E0
1.314326375E0,2.439926147E-2,9.542506256E0,2.708916779E0
1.324265375E0,3.233276367E-2,9.513915710E0,2.565964050E0
1.334203375E0,3.847000122E-2,9.541608124E0,2.391127625E0
1.344142375E0,2.499801636E-2,9.552385712E0,2.354902954E0
1.354081375E0,2.694396973E-2,9.519005127E0,2.370919647E0
1.364020375E0,1.631607056E-2,9.488768005E0,2.391726379E0
1.373959375E0,-4.939727783E-3,9.473050690E0,2.481689301E0
1.383898375E0,-1.661544800E-2,9.522447968E0,2.559677124E0
1.393837375E0,-1.002914429E-2,9.552685089E0,2.660866699E0
1.403776375E0,1.496887207E-2,9.583820343E0,2.727328491E0
1.413715375E0,4.550537109E-2,9.600884857E0,2.668051758E0
1.423654375E0,3.876937866E-2,9.539811859E0,2.550097046E0
1.433593375E0,5.852828979E-2,9.530531158E0,2.450703735E0
1.443532375E0,1.453477478E-1,9.519454193E0,2.317181396E0
1.453471375E0,1.112187195E-1,9.439221039E0,2.228715363E0
1.463410375E0,8.637039185E-2,9.384884033E0,2.164199524E0
1.473349375E0,7.948471069E-2,9.378297729E0,2.233655090E0
1.483288375E0,9.295669556E-2,9.374256134E0,2.200274506E0
1.493227375E0,6.541397095E-2,9.323361969E0,2.233655090E0
1.503166375E0,5.897735596E-2,9.313183136E0,2.261646881E0
1.513105375E0,5.298980713E-2,9.362879791E0,2.233954468E0
1.523044375E0,5.119354248E-2,9.362580414E0,2.261048126E0
1.532983375E0,6.496490479E-2,9.365125122E0,2.311942291E0
1.542922375E0,9.041198730E-2,9.424701233E0,2.396366730E0
1.552861375E0,1.402583313E-1,9.480385437E0,2.403252411E0
1.562800375E0,1.047821045E-1,9.487570496E0,2.332000580E0
1.572739375E0,5.343887329E-2,9.486672363E0,2.272125092E0
1.582678375E0,2.754272461E-2,9.520651703E0,2.300266571E0
1.592617375E0,-1.347198486E-3,9.555529175E0,2.286644897E0
1.602556375E0,-2.439926147E-2,9.555080109E0,2.271676025E0
1.612494375E0,-1.451980591E-2,9.541159058E0,2.286794586E0
1.622433375E0,2.095642090E-3,9.556726685E0,2.296374664E0
1.632372375E0,3.323089600E-2,9.561367035E0,2.300565948E0
1.642311375E0,4.849914551E-2,9.560618591E0,2.273621979E0
1.652250375E0,1.781295776E-2,9.570048981E0,2.247725830E0
1.662189375E0,3.906875610E-2,9.539213104E0,2.184108124E0
1.672128375E0,4.909790039E-2,9.461674347E0,2.221081238E0
1.682067375E0,9.310638428E-2,9.457183685E0,2.370769958E0
1.692006375E0,1.460961914E-1,9.482930145E0,2.266137543E0
1.701945375E0,1.347198486E-1,9.426946564E0,2.243085480E0
1.711884375E0,1.576222229E-1,9.431736603E0,2.393672333E0
1.721823375E0,8.202941895E-2,9.482780457E0,2.393822021E0
1.731762375E0,2.136058044E-1,9.443412323E0,2.325713654E0
1.741701375E0,1.954934692E-1,9.416019287E0,2.424059143E0
1.751640375E0,1.014889526E-1,9.313632202E0,2.586022339E0
1.761579375E0,8.936416626E-2,9.181756439E0,2.615960083E0
1.771518375E0,-1.936972046E-1,9.063202972E0,2.685565338E0
1.781457375E0,-3.296145630E-1,9.171427917E0,3.149001617E0
1.791396375E0,-1.504371643E-1,9.390272827E0,3.186573486E0
1.801335375E0,-9.280700684E-3,9.381890259E0,3.169059906E0
1.811274375E0,-1.631607056E-2,9.333540802E0,3.251987457E0
1.821213375E0,-3.246748352E-1,9.354946289E0,3.340004425E0
1.831152375E0,-2.544708252E-2,9.452543335E0,3.185525665E0
1.841091625E0,7.768844604E-2,9.576784973E0,2.934048615E0
1.851030625E0,-1.839674377E-1,9.472751312E0,3.023263092E0
1.860969625E0,-1.178050232E-1,9.404493256E0,3.065625000E0
1.870908625E0,-2.245330811E-2,9.455537109E0,3.004701691E0
1.880847625E0,-7.304809570E-2,9.402547302E0,3.014431458E0
1.890786625E0,-1.511856079E-1,9.343120880E0,3.128344574E0
1.900725625E0,-1.362167358E-1,9.365274811E0,3.245550842E0
1.910663625E0,-1.537303162E-1,9.373058624E0,3.208877106E0
1.920602625E0,-8.936416626E-2,9.315877533E0,3.119213562E0
1.930541625E0,-6.481521606E-2,9.260193329E0,3.059038696E0
1.940480625E0,-1.158590698E-1,9.216035156E0,3.178490295E0
1.950419625E0,-5.164260864E-2,9.157207489E0,3.203638000E0
1.960358625E0,-8.457412720E-2,9.160051575E0,3.240760803E0
1.970297625E0,-5.089416504E-3,9.176966400E0,3.219205627E0
1.980236625E0,3.607498169E-2,9.221124573E0,3.323838043E0
1.990175625E0,3.936813354E-2,9.193432159E0,3.421435089E0
2.000114625E0,9.430389404E-2,9.100924530E0,3.542982330E0
2.010053625E0,6.661148071E-2,9.048383789E0,3.701203308E0
2.019992625E0,1.383123779E-1,9.084159393E0,3.730841675E0
2.029931625E0,2.662962341E-1,9.143735504E0,3.609444122E0
2.039870625E0,1.854643250E-1,9.166637878E0,3.583547974E0
2.049809625E0,1.550775146E-1,9.155710602E0,3.584745483E0
2.059748625E0,1.519340515E-1,9.128616943E0,3.535048828E0
2.069687625E0,8.412506104E-2,9.108408966E0,3.526815948E0
2.079626625E0,1.960922241E-2,9.059161377E0,3.633693695E0
2.089565625E0,1.392105103E-2,8.947792969E0,3.824247437E0
2.099504625E0,-3.727249146E-2,8.543184357E0,3.928879852E0
2.109443625E0,2.897973633E-1,8.853189697E0,3.721261597E0
2.119382625E0,2.857557678E-1,9.250613251E0,3.850742340E0
2.129321625E0,1.477427673E-1,9.082812195E0,4.252057800E0
2.139260625E0,1.695973206E-1,8.989406433E0,4.430486755E0
2.149199625E0,1.990859985E-1,8.960666199E0,4.525539093E0
2.159138625E0,1.344204712E-1,8.911119232E0,4.525539093E0
2.169077625E0,4.939727783E-2,8.849746857E0,4.570894775E0
2.179016625E0,8.472381592E-2,8.838370514E0,4.703219604E0
2.188955625E0,3.592529297E-3,8.771010590E0,4.784799957E0
2.198893625E0,-7.095245361E-2,8.737031250E0,4.840484161E0
2.208832625E0,3.667373657E-2,8.805438995E0,4.738246765E0
2.218771625E0,-8.831634521E-3,8.679401093E0,4.803361359E0
2.228710625E0,-4.370910645E-2,8.457562408E0,4.934189301E0
2.238649625E0,4.790039063E-2,8.314310303E0,4.988825684E0
2.248588625E0,1.252894592E-1,8.248896332E0,5.067561951E0
2.258527625E0,1.320254517E-1,8.218210144E0,5.174290009E0
2.268466625E0,1.649569702E-1,8.220754852E0,5.313350830E0
2.278405625E0,1.880090332E-1,8.148604889E0,5.585634613E0
2.288344625E0,1.425036621E-1,7.990982666E0,5.814508667E0
2.298283625E0,1.326242065E-1,7.922275543E0,5.892047424E0
2.308222625E0,1.848655701E-1,7.870034180E0,5.900879059E0
2.318161625E0,1.556762695E-1,7.817792816E0,5.801485748E0
2.328100625E0,5.957611084E-2,7.805069275E0,5.736071777E0
2.338039625E0,1.101708984E-1,7.782615967E0,5.800437927E0
2.347978625E0,1.248403931E-1,7.762407990E0,5.858367462E0
2.357917625E0,1.374142456E-1,7.729775848E0,5.917344818E0
2.367856625E0,2.294728088E-1,7.742948456E0,6.066285095E0
2.377795625E0,2.321672058E-1,7.774083710E0,6.121071167E0
2.387734625E0,2.580633545E-1,7.769443359E0,6.139931946E0
2.397673625E0,2.615061951E-1,7.693850555E0,6.118825836E0
2.407612625E0,1.700463867E-1,7.590715027E0,6.245462494E0
2.417551625E0,1.856140137E-1,7.566615143E0,6.325995026E0
2.427490625E0,1.803749084E-1,7.494315491E0,6.377038879E0
2.437429625E0,1.606159973E-1,7.463778992E0,6.422394562E0
2.447368625E0,8.652008057E-2,7.423812103E0,6.487808533E0
2.457307625E0,1.118174744E-1,7.365134125E0,6.404282227E0
2.467246625E0,1.013392639E-1,7.307803345E0,6.499633942E0
2.477185625E0,2.439926147E-2,7.313192139E0,6.641239471E0
2.487124625E0,-2.993774414E-4,7.270680542E0,6.681206360E0
2.497063625E0,-6.825805664E-2,7.167844391E0,6.613996124E0
2.507001625E0,-7.948471069E-2,7.106621704E0,6.764582977E0
2.516940625E0,-1.257385254E-2,7.096143494E0,6.829847260E0
2.526879625E0,-4.191284180E-3,7.058272247E0,6.873256989E0
2.536818625E0,-6.092330933E-2,6.983577576E0,6.829996948E0
2.546757625E0,-8.801696777E-2,6.897656250E0,6.650220795E0
2.556696625E0,-5.418731689E-2,6.800208893E0,6.746470642E0
2.566635625E0,-6.511459351E-2,6.731202393E0,6.866970062E0
2.576574625E0,-7.065307617E-2,6.687642975E0,7.010072479E0
2.586513625E0,-7.738906860E-2,6.648723907E0,7.130422211E0
2.596452625E0,2.814147949E-2,6.620732117E0,7.241640930E0
2.606391625E0,1.088237000E-1,6.591093750E0,7.193590851E0
2.616330625E0,5.897735596E-2,6.525979156E0,7.239545288E0
2.626269625E0,1.197509766E-3,6.444548492E0,7.337890778E0
2.636208625E0,5.688171387E-3,6.391558685E0,7.339986420E0
2.646147625E0,-7.304809570E-2,6.356381836E0,7.293283539E0
2.656086625E0,-1.484912109E-1,6.327042847E0,7.225324860E0
2.666025625E0,-1.299298096E-1,6.244115295E0,7.186256104E0
2.675964625E0,-7.469467163E-2,6.143823853E0,7.312294006E0
2.685903625E0,4.939727783E-2,6.115233307E0,7.327412567E0
2.695842625E0,9.235794067E-2,5.992937622E0,7.407346344E0
2.705781625E0,4.400848389E-2,5.860463104E0,7.542964325E0
2.715720625E0,1.055305481E-1,5.738017731E0,7.876470795E0
2.725659625E0,2.270777893E-1,5.649851074E0,8.344996490E0
2.735598625E0,2.315684509E-1,5.635181580E0,8.544531555E0
2.745537625E0,2.119592285E-1,5.641767883E0,8.433761902E0
2.755476625E0,2.484832764E-1,5.561684418E0,8.343798981E0
2.765415625E0,2.456391907E-1,5.520070953E0,8.261021118E0
2.775354625E0,2.103126526E-1,5.500761108E0,8.177644501E0
2.785293625E0,2.182461548E-1,5.479355621E0,8.074359283E0
2.795232625E0,2.005828857E-1,5.391638031E0,8.053253174E0
2.805171625E0,2.103126526E-1,5.343587952E0,7.977959747E0
2.815110625E0,2.811154175E-1,5.320386200E0,7.936495972E0
2.825048625E0,4.914280701E-1,5.221891022E0,8.134534149E0
2.834987625E0,5.801934814E-1,5.093158722E0,8.484955444E0
2.844926500E0,5.435197449E-1,4.988376617E0,8.765771484E0
2.854865500E0,6.108796692E-1,4.896467743E0,8.891210632E0
2.864804500E0,6.289920044E-1,4.837340698E0,8.766070862E0
2.874743500E0,6.198609924E-1,4.794380035E0,8.646768951E0
2.884682500E0,6.887178040E-1,4.710404663E0,8.594527588E0
2.894621500E0,7.081773376E-1,4.651576996E0,8.496631165E0
2.904560500E0,6.746470642E-1,4.647685089E0,8.418044586E0
2.914499500E0,7.518864441E-1,4.650828552E0,8.349187775E0
2.924438500E0,7.979905701E-1,4.550088043E0,8.280031586E0
2.934377500E0,8.831634521E-1,4.480333099E0,8.206534424E0
2.944316500E0,9.059161377E-1,4.387975159E0,8.373587036E0
2.954255500E0,1.054856415E0,4.279301147E0,8.728199615E0
2.964194500E0,1.134341125E0,4.251159668E0,8.944499817E0
2.974133500E0,1.106948090E0,4.230502625E0,8.859476624E0
2.984072500E0,1.076112213E0,4.184099121E0,8.862620087E0
2.994011500E0,1.017883301E0,4.175716553E0,8.945098572E0
3.003950500E0,1.034498749E0,4.113745422E0,8.942853241E0
3.013889500E0,1.033600616E0,4.008813629E0,8.962911530E0
3.023828500E0,9.758207703E-1,3.959715729E0,8.970545654E0
3.033767500E0,9.665400696E-1,3.922592926E0,8.844657440E0
3.043706500E0,9.668394470E-1,3.815116425E0,8.789122925E0
3.053645500E0,1.073268127E0,3.700155487E0,8.839418335E0
3.063584500E0,1.062041473E0,3.638334045E0,8.982371063E0
3.073523500E0,9.958790588E-1,3.556903381E0,9.190588074E0
3.083462500E0,8.655001831E-1,3.400927734E0,9.306746521E0
3.093401500E0,8.821156311E-1,3.353326721E0,9.266480255E0
3.103340500E0,9.984237671E-1,3.233426056E0,9.379195862E0
3.113279500E0,9.719288635E-1,3.195405121E0,9.414223022E0
3.123218500E0,1.073417816E0,3.192111969E0,9.400152283E0
3.133157500E0,1.055006104E0,3.076103210E0,9.325307922E0
3.143096500E0,1.020428009E0,2.948718109E0,9.211993561E0
3.153035500E0,9.225315857E-1,2.868934021E0,9.161398773E0
3.162973500E0,1.040486298E0,2.869532776E0,9.144184570E0
3.172912500E0,1.153950348E0,2.768792267E0,9.198072510E0
3.182851500E0,1.131946106E0,2.701432343E0,9.258696442E0
3.192790500E0,1.149609375E0,2.655178528E0,9.396260376E0
3.202729500E0,1.150058441E0,2.550845490E0,9.557325439E0
3.212668500E0,1.061143341E0,2.422412567E0,9.751322021E0
3.222607500E0,9.659413147E-1,2.325563965E0,9.806108093E0
3.232546500E0,1.037193146E0,2.290087738E0,9.725874939E0
3.242485500E0,1.057251434E0,2.202819214E0,9.646240540E0
3.252424500E0,1.047821045E0,2.141895905E0,9.561816101E0
3.262363500E0,1.063238983E0,2.080373840E0,9.496252441E0
3.272302500E0,1.056203613E0,2.033820648E0,9.433682556E0
3.282241500E0,1.026714935E0,1.990410919E0,9.373956757E0
3.292180500E0,1.011147308E0,1.944456482E0,9.324409790E0
3.302119500E0,1.059347076E0,1.919608154E0,9.331744537E0
3.312058500E0,1.104702759E0,1.817670135E0,9.330397339E0
3.321997500E0,1.159488831E0,1.680854645E0,9.341923370E0
3.331936500E0,1.120719452E0,1.565444641E0,9.447304230E0
3.341875500E0,1.073417816E0,1.512903900E0,9.669292603E0
3.351814500E0,9.840536499E-1,1.446442108E0,9.828112335E0
3.361753500E0,8.361611938E-1,1.376537476E0,9.943522339E0
3.371692500E0,7.479945374E-1,1.342558136E0,1.002001328E1
3.381631500E0,7.152127075E-1,1.321751404E0,9.943522339E0
3.391570500E0,6.686595154E-1,1.320104828E0,9.740245056E0
3.401509500E0,5.571414185E-1,1.275946655E0,9.655670929E0
3.411448500E0,4.640350342E-1,1.261875916E0,9.674980774E0
3.421387500E0,3.812571716E-1,1.262474670E0,9.698631592E0
3.431326500E0,3.743714905E-1,1.210682373E0,9.834099884E0
3.441265500E0,3.773652649E-1,1.188678131E0,9.988728333E0
3.451204500E0,3.854484558E-1,1.137783966E0,1.006012985E1
3.461143500E0,3.799099731E-1,1.082698517E0,1.009904892E1
3.471082500E0,3.499722290E-1,1.044078827E0,1.015578094E1
3.481021500E0,3.118016052E-1,9.583071899E-1,1.026385620E1
3.490960500E0,2.712359619E-1,8.943901062E-1,1.040920395E1
3.500899500E0,2.835104370E-1,8.533753967E-1,1.050814819E1
3.510837500E0,2.865042114E-1,8.370593262E-1,1.043315414E1
3.520776500E0,2.489323425E-1,8.152047729E-1,1.026969406E1
3.530715500E0,1.998344421E-1,8.033793640E-1,1.013168106E1
3.540654500E0,1.704954529E-1,8.039781189E-1,1.006641678E1
3.550593500E0,1.722917175E-1,7.911048889E-1,1.004561005E1
3.560532500E0,1.243913269E-1,7.511380005E-1,9.983189850E0
3.570471500E0,6.256988525E-2,6.764433289E-1,1.005953110E1
3.580410500E0,5.119354248E-2,6.333329773E-1,1.009006760E1
3.590349500E0,6.691085815E-2,5.801934814E-1,1.008812164E1
3.600288500E0,8.008346558E-2,5.060975647E-1,1.009560608E1
3.610227500E0,8.068222046E-2,4.493655396E-1,1.016730698E1
3.620166500E0,7.798782349E-2,4.269122314E-1,1.017194733E1
3.630105500E0,7.708969116E-2,3.694317627E-1,1.017389328E1
3.640044500E0,7.244934082E-2,3.495231628E-1,1.013677048E1
3.649983500E0,5.748046875E-2,3.406915283E-1,1.017224670E1
3.659922500E0,1.481918335E-2,3.287164307E-1,1.021191422E1
