"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.598741668E-2,2.865232944E0,-1.833243561E1,-3.016723633E1
3.592641669E-2,2.969892979E0,-1.849098969E1,-3.025087738E1
4.586541664E-2,3.008126736E0,-1.846642303E1,-3.028074646E1
5.580441665E-2,2.925878048E0,-1.830852318E1,-3.047890472E1
6.574341666E-2,2.951176643E0,-1.837904167E1,-3.027319717E1
7.568241667E-2,2.896963596E0,-1.846105957E1,-3.030800629E1
8.562041668E-2,2.960958481E0,-1.857478714E1,-3.023348999E1
9.555941669E-2,2.803402901E0,-1.846092606E1,-3.031389618E1
1.054984166E-1,2.884891987E0,-1.829707909E1,-3.028303146E1
1.154374167E-1,2.994964600E0,-1.854395676E1,-3.041598129E1
1.253764167E-1,2.920374393E0,-1.859605598E1,-3.012174225E1
1.353154167E-1,2.944010258E0,-1.848883247E1,-3.028311920E1
1.452544167E-1,3.055312634E0,-1.851970673E1,-3.005777359E1
1.551934166E-1,2.973955154E0,-1.853032684E1,-3.009615326E1
1.651324166E-1,3.069729805E0,-1.849522018E1,-3.023092651E1
1.750714167E-1,3.101310730E0,-1.857523155E1,-3.019846344E1
1.850104167E-1,3.338181496E0,-1.852643967E1,-3.014372635E1
1.949494167E-1,3.248985291E0,-1.850862122E1,-3.011360550E1
2.048884167E-1,3.246588230E0,-1.857618713E1,-3.004986572E1
2.148274166E-1,3.246588230E0,-1.857618713E1,-3.004986572E1
2.247664166E-1,3.219947815E0,-1.859293747E1,-3.007394791E1
2.347054167E-1,3.198120117E0,-1.867213058E1,-2.995622635E1
2.446444167E-1,3.290239334E0,-1.863285255E1,-3.017378998E1
2.545834167E-1,3.003877640E0,-1.853216171E1,-3.016906738E1
2.645224166E-1,2.963922501E0,-1.852554321E1,-3.011635590E1
2.744614166E-1,3.129226208E0,-1.857293510E1,-3.026809311E1
2.844004167E-1,2.991247177E0,-1.835659790E1,-3.004201508E1
2.943394167E-1,2.943353653E0,-1.866070175E1,-3.009589005E1
3.042784167E-1,2.942232609E0,-1.862846375E1,-3.014838409E1
3.142164167E-1,2.833954334E0,-1.856361771E1,-3.019360352E1
3.241554167E-1,2.998500824E0,-1.860394287E1,-3.004698944E1
3.340944166E-1,2.974290848E0,-1.861674118E1,-3.010319138E1
3.440334167E-1,2.978665829E0,-1.864413834E1,-3.021072769E1
3.539724167E-1,2.889209747E0,-1.860545349E1,-3.027233505E1
3.639114167E-1,2.771902561E0,-1.858557129E1,-3.019190979E1
