"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.688499866E-3,6.286926270E-2,2.664459229E-1,1.030367340E1,1.030730962E1
1.262749988E-2,5.059478760E-2,3.294648743E-1,1.029364426E1,1.029903971E1
2.256649989E-2,1.715432739E-1,4.231700134E-1,9.624984741E0,9.635809837E0
3.250549990E-2,1.749861145E-1,3.553610229E-1,9.703421631E0,9.711503125E0
4.244449991E-2,1.119671631E-1,3.246748352E-1,9.973310394E0,9.979221944E0
5.238349992E-2,1.142124939E-1,3.826043701E-1,9.895921326E0,9.903973419E0
6.232149992E-2,1.781295776E-1,3.815565491E-1,9.843081207E0,9.852084206E0
7.226049993E-2,1.011895752E-1,3.381468201E-1,9.908046112E0,9.914331060E0
8.219949994E-2,1.181044006E-1,3.433859253E-1,9.837093658E0,9.843793689E0
9.213849995E-2,1.410067749E-1,3.761677551E-1,9.841135254E0,9.849331357E0
1.020775000E-1,1.311273193E-1,3.341052246E-1,9.917925568E0,9.924417778E0
1.120165000E-1,1.261875916E-1,3.408412170E-1,9.873168640E0,9.879856023E0
1.219555000E-1,1.532812500E-1,3.549119568E-1,9.809850311E0,9.817465089E0
1.318945000E-1,1.193019104E-1,3.546125793E-1,9.892478485E0,9.899551182E0
1.418335000E-1,1.028361511E-1,3.450325012E-1,9.887838135E0,9.894390617E0
1.517725000E-1,1.296304321E-1,3.507206726E-1,9.842632141E0,9.849731799E0
1.617115000E-1,1.257385254E-1,3.661386108E-1,9.870324554E0,9.877913467E0
1.716505000E-1,1.185534668E-1,3.350033569E-1,9.872719574E0,9.879113015E0
1.815895000E-1,1.282832336E-1,3.550616455E-1,9.879455566E0,9.886666154E0
1.915285001E-1,1.404080200E-1,3.486250305E-1,9.872569885E0,9.879721148E0
2.014675001E-1,1.104702759E-1,3.526666260E-1,9.875264282E0,9.882176991E0
2.114065001E-1,1.305285645E-1,3.535647583E-1,9.857451324E0,9.864653687E0
2.213454999E-1,1.219963074E-1,3.600013733E-1,9.874216461E0,9.881529983E0
2.312844999E-1,1.234931946E-1,3.538641357E-1,9.894424438E0,9.901520356E0
2.412234999E-1,1.188528442E-1,3.553610229E-1,9.868677979E0,9.875789209E0
2.511624999E-1,1.345701599E-1,3.833528137E-1,9.852810974E0,9.861184138E0
2.611014999E-1,1.276844788E-1,3.620970154E-1,9.878856812E0,9.886315263E0
2.710404999E-1,1.236428833E-1,3.686833191E-1,9.881251831E0,9.888900480E0
2.809794999E-1,1.285826111E-1,3.520678711E-1,9.875563660E0,9.882673872E0
2.909184999E-1,1.282832336E-1,3.396437073E-1,9.873468018E0,9.880140947E0
3.008574999E-1,1.360670471E-1,3.475772095E-1,9.871522064E0,9.878576417E0
3.107965000E-1,1.335223389E-1,3.574566650E-1,9.871222687E0,9.878595083E0
3.207355000E-1,1.228944397E-1,3.544628906E-1,9.866432648E0,9.873562689E0
3.306745000E-1,1.374142456E-1,3.607498169E-1,9.866432648E0,9.873981785E0
3.406135000E-1,1.317260742E-1,3.519181824E-1,9.859696655E0,9.866854428E0
3.505525000E-1,1.309776306E-1,3.504212952E-1,9.872420197E0,9.879505593E0
3.604915000E-1,1.296304321E-1,3.412902832E-1,9.860594788E0,9.867350844E0
