"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.774584133E-4,-2.314187622E-1,8.439450073E-1,1.021400986E1,1.025142893E1
1.051645842E-2,-4.040098572E-1,9.846524048E-1,9.947713623E0,1.000448753E1
2.045645844E-2,-5.999523926E-1,9.719288635E-1,9.635013885E0,9.702478094E0
3.039545845E-2,-4.712200928E-1,1.229243774E0,9.422755280E0,9.514273787E0
4.033445846E-2,-6.312373352E-1,1.319206696E0,9.057065735E0,9.174377723E0
5.027345847E-2,-9.647438049E-1,1.148112488E0,9.184600525E0,9.306222633E0
6.021245848E-2,-1.177900543E0,1.042282562E0,9.814790039E0,9.940015399E0
7.015245827E-2,-1.393152924E0,8.144563293E-1,1.107621689E1,1.119315839E1
8.009145828E-2,-9.119036865E-1,1.047821045E0,1.132904114E1,1.141388060E1
9.003045829E-2,-6.053411865E-1,9.885443115E-1,1.114701965E1,1.120712742E1
9.996945830E-2,-5.013075256E-1,7.301815796E-1,1.075887680E1,1.079527232E1
1.099094583E-1,-4.188290405E-1,5.560935974E-1,1.046443909E1,1.048757089E1
1.198484583E-1,-4.816983032E-1,5.287005615E-1,1.023376877E1,1.025873193E1
1.297874583E-1,-4.117936707E-1,6.264472961E-1,1.000728973E1,1.003533049E1
1.397264584E-1,-3.722758484E-1,6.562353516E-1,1.004845413E1,1.007673879E1
1.496654584E-1,-5.450166321E-1,6.108796692E-1,9.992470551E0,1.002595057E1
1.596054584E-1,-5.433700562E-1,7.006929016E-1,9.766889648E0,9.807056386E0
1.695444584E-1,-5.194198608E-1,7.837701416E-1,9.626930695E0,9.672739386E0
1.794834584E-1,-5.442681885E-1,8.569679260E-1,9.461524658E0,9.515832635E0
1.894224584E-1,-5.394781494E-1,8.881031799E-1,9.304950256E0,9.362791422E0
1.993624584E-1,-4.511618042E-1,9.180409241E-1,9.225016479E0,9.281555643E0
2.093014584E-1,-5.041516113E-1,8.861572266E-1,9.189390564E0,9.245774300E0
2.192404584E-1,-5.201683044E-1,8.149053955E-1,9.153465271E0,9.204377890E0
2.291794585E-1,-4.837939453E-1,7.890092468E-1,9.160500641E0,9.207136589E0
2.391184585E-1,-4.073030090E-1,7.776329041E-1,9.208550720E0,9.250298106E0
